Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
Monsters University,Dan Scanlon,104,Steve Buscemi,Tyler Labine,Sean Hayes,268488329,Adventure Animation Comedy Family Fantasy,cheating fraternity monster singing in a car university,200000000,2013,cheating fraternity monster singing car university,DanScanlon SteveBuscemi TylerLabine SeanHayes Adventure Animation Comedy Family Fantasy cheating fraternity monster singing car university
Transformers: Revenge of the Fallen,Michael Bay,150,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,402076689,Action Adventure Sci-Fi,autobot decepticon machine sun symbol,200000000,2009,autobot decepticon machine sun symbol,MichaelBay GlennMorshower KevinDunn RamonRodriguez Action Adventure Sci-Fi autobot decepticon machine sun symbol
Transformers: Age of Extinction,Michael Bay,165,Bingbing Li,Sophia Myles,Kelsey Grammer,245428137,Action Adventure Sci-Fi,blockbuster bumblebee the character semi truck and trailer texas truck,210000000,2014,blockbuster bumblebee character semi truck trailer texas,MichaelBay BingbingLi SophiaMyles KelseyGrammer Action Adventure Sci-Fi blockbuster bumblebee character semi truck trailer texas
Oz the Great and Powerful,Sam Raimi,130,Tim Holmes,Mila Kunis,James Franco,234903076,Adventure Family Fantasy,circus magic magician oz witch,215000000,2013,circus magic magician oz witch,SamRaimi TimHolmes MilaKunis JamesFranco Adventure Family Fantasy circus magic magician oz witch
The Amazing Spider-Man 2,Marc Webb,142,Emma Stone,Andrew Garfield,B.J. Novak,202853933,Action Adventure Fantasy Sci-Fi,costumed hero death of girlfriend masked vigilante returning character killed off teenager,200000000,2014,costumed hero death girlfriend masked vigilante returning character killed teenager,MarcWebb EmmaStone AndrewGarfield B.J.Novak Action Adventure Fantasy Sci-Fi costumed hero death girlfriend masked vigilante returning character killed teenager
TRON: Legacy,Joseph Kosinski,125,Jeff Bridges,Olivia Wilde,James Frain,172051787,Action Adventure Sci-Fi,arcade bridge disappearance escape warrior,170000000,2010,arcade bridge disappearance escape warrior,JosephKosinski JeffBridges OliviaWilde JamesFrain Action Adventure Sci-Fi arcade bridge disappearance escape warrior
Cars 2,John Lasseter,106,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,191450875,Adventure Animation Comedy Family Sport,best friend car race conspiracy gadget car spy,200000000,2011,best friend car race conspiracy gadget spy,JohnLasseter JoeMantegna ThomasKretschmann EddieIzzard Adventure Animation Comedy Family Sport best friend car race conspiracy gadget spy
Green Lantern,Martin Campbell,123,Ryan Reynolds,Temuera Morrison,Taika Waititi,116593191,Action Adventure Sci-Fi,autopsy lantern planet ring test pilot,200000000,2011,autopsy lantern planet ring test pilot,MartinCampbell RyanReynolds TemueraMorrison TaikaWaititi Action Adventure Sci-Fi autopsy lantern planet ring test pilot
Toy Story 3,Lee Unkrich,103,Tom Hanks,John Ratzenberger,Don Rickles,414984497,Adventure Animation Comedy Family Fantasy,college day care escape teddy bear toy,200000000,2010,college day care escape teddy bear toy,LeeUnkrich TomHanks JohnRatzenberger DonRickles Adventure Animation Comedy Family Fantasy college day care escape teddy bear toy
Terminator Salvation,McG,118,Christian Bale,Bryce Dallas Howard,Common,125320003,Action Adventure Sci-Fi,death row future machine rescue skynet,200000000,2009,death row future machine rescue skynet,McG ChristianBale BryceDallasHoward Common Action Adventure Sci-Fi death row future machine rescue skynet
Furious 7,James Wan,140,Jason Statham,Paul Walker,Vin Diesel,350034110,Action Crime Thriller,car falling off a cliff hospital revenge star died before release terrorist,190000000,2015,car falling cliff hospital revenge star died release terrorist,JamesWan JasonStatham PaulWalker VinDiesel Action Crime Thriller car falling cliff hospital revenge star died release terrorist
World War Z,Marc Forster,123,Peter Capaldi,Brad Pitt,Mireille Enos,202351611,Action Adventure Horror Sci-Fi Thriller,chaos disease infection pandemic zombie,190000000,2013,chaos disease infection pandemic zombie,MarcForster PeterCapaldi BradPitt MireilleEnos Action Adventure Horror Sci-Fi Thriller chaos disease infection pandemic zombie
X-Men: Days of Future Past,Bryan Singer,149,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,233914986,Action Adventure Fantasy Sci-Fi Thriller,dystopia super strength supernatural power time paradox time travel,200000000,2014,dystopia super strength supernatural power time paradox travel,BryanSinger JenniferLawrence PeterDinklage HughJackman Action Adventure Fantasy Sci-Fi Thriller dystopia super strength supernatural power time paradox travel
Star Trek Into Darkness,J.J. Abrams,132,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,228756232,Action Adventure Sci-Fi,admiral captain manhunt mission space,190000000,2013,admiral captain manhunt mission space,J.J.Abrams BenedictCumberbatch BruceGreenwood NoelClarke Action Adventure Sci-Fi admiral captain manhunt mission space
Jack the Giant Slayer,Bryan Singer,114,Eddie Marsan,Ewen Bremner,Ralph Brown,65171860,Adventure Fantasy,bean giant king no opening credits princess,195000000,2013,bean giant king opening credit princess,BryanSinger EddieMarsan EwenBremner RalphBrown Adventure Fantasy bean giant king opening credit princess
The Great Gatsby,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,144812796,Drama Romance,ingratitude mansion party title appears in writing tragedy,105000000,2013,ingratitude mansion party title appears writing tragedy,BazLuhrmann LeonardoDiCaprio ElizabethDebicki SteveBisley Drama Romance ingratitude mansion party title appears writing tragedy
Prince of Persia: The Sands of Time,Mike Newell,116,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,90755643,Action Adventure Fantasy Romance,alamut dagger king persia princess,200000000,2010,alamut dagger king persia princess,MikeNewell JakeGyllenhaal RichardCoyle ReeceRitchie Action Adventure Fantasy Romance alamut dagger king persia princess
Pacific Rim,Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,101785482,Action Adventure Sci-Fi,giant monster kaiju pilot portal robot,190000000,2013,giant monster kaiju pilot portal robot,GuillermodelToro CharlieHunnam CliftonCollinsJr. LarryJoeCampbell Action Adventure Sci-Fi giant monster kaiju pilot portal robot
Transformers: Dark of the Moon,Michael Bay,154,Glenn Morshower,Lester Speight,Kevin Dunn,352358779,Action Adventure Sci-Fi,autobot decepticon job interview moon spacecraft,195000000,2011,autobot decepticon job interview moon spacecraft,MichaelBay GlennMorshower LesterSpeight KevinDunn Action Adventure Sci-Fi autobot decepticon job interview moon spacecraft
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,122,Harrison Ford,Ray Winstone,Jim Broadbent,317011114,Action Adventure Fantasy,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,185000000,2008,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,StevenSpielberg HarrisonFord RayWinstone JimBroadbent Action Adventure Fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957
The Good Dinosaur,Peter Sohn,93,A.J. Buckley,Jack McGraw,Peter Sohn,123070338,Adventure Animation Comedy Family Fantasy,apatosaurus asteroid dinosaur fear river,175000000,2015,apatosaurus asteroid dinosaur fear river,PeterSohn A.J.Buckley JackMcGraw PeterSohn Adventure Animation Comedy Family Fantasy apatosaurus asteroid dinosaur fear river
Brave,Mark Andrews,93,Kelly Macdonald,John Ratzenberger,Julie Walters,237282182,Adventure Animation Comedy Family Fantasy,archery coming of age female warrior princess rebellious daughter,185000000,2012,archery coming age female warrior princess rebellious daughter,MarkAndrews KellyMacdonald JohnRatzenberger JulieWalters Adventure Animation Comedy Family Fantasy archery coming age female warrior princess rebellious daughter
Star Trek Beyond,Justin Lin,122,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,130468626,Action Adventure Sci-Fi Thriller,hatred sequel space opera star trek third part,185000000,2016,hatred sequel space opera star trek third part,JustinLin SofiaBoutella MelissaRoxburgh LydiaWilson Action Adventure Sci-Fi Thriller hatred sequel space opera star trek third part
WALL·E,Andrew Stanton,98,John Ratzenberger,Fred Willard,Jeff Garlin,223806889,Adventure Animation Family Sci-Fi,earth obesity plant robot soil,180000000,2008,earth obesity plant robot soil,AndrewStanton JohnRatzenberger FredWillard JeffGarlin Adventure Animation Family Sci-Fi earth obesity plant robot soil
Rush Hour 3,Brett Ratner,91,Tzi Ma,Dana Ivey,Noémie Lenoir,140080850,Action Comedy Crime Thriller,ambassador assassination chinese french triad,140000000,2007,ambassador assassination chinese french triad,BrettRatner TziMa DanaIvey NoémieLenoir Action Comedy Crime Thriller ambassador assassination chinese french triad
2012,Roland Emmerich,158,Oliver Platt,Liam James,Tom McCarthy,166112167,Action Adventure Sci-Fi,ark catastrophe geologist president writer,200000000,2009,ark catastrophe geologist president writer,RolandEmmerich OliverPlatt LiamJames TomMcCarthy Action Adventure Sci-Fi ark catastrophe geologist president writer
A Christmas Carol,Robert Zemeckis,96,Robin Wright,Colin Firth,Gary Oldman,137850096,Animation Drama Family Fantasy,charles dickens christmas christmas eve ghost scrooge,200000000,2009,charles dickens christmas eve ghost scrooge,RobertZemeckis RobinWright ColinFirth GaryOldman Animation Drama Family Fantasy charles dickens christmas eve ghost scrooge
Jupiter Ascending,Lana Wachowski,127,Channing Tatum,Mila Kunis,Eddie Redmayne,47375327,Action Adventure Sci-Fi,box office flop critically bashed planet earth space opera woman in bra and panties,176000000,2015,box office flop critically bashed planet earth space opera woman bra panty,LanaWachowski ChanningTatum MilaKunis EddieRedmayne Action Adventure Sci-Fi box office flop critically bashed planet earth space opera woman bra panty
The Legend of Tarzan,David Yates,110,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759,Action Adventure Drama Romance,africa capture jungle male objectification tarzan,180000000,2016,africa capture jungle male objectification tarzan,DavidYates ChristophWaltz AlexanderSkarsgård CasperCrump Action Adventure Drama Romance africa capture jungle male objectification tarzan
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,150,Jim Broadbent,Kiran Shah,Shane Rangi,291709845,Adventure Family Fantasy,hide and seek lion magic professor snow,180000000,2005,hide seek lion magic professor snow,AndrewAdamson JimBroadbent KiranShah ShaneRangi Adventure Family Fantasy hide seek lion magic professor snow
X-Men: Apocalypse,Bryan Singer,144,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,154985087,Action Adventure Sci-Fi,mutant superhero superhero team x men year 1983,178000000,2016,mutant superhero team x men year 1983,BryanSinger JenniferLawrence MichaelFassbender TyeSheridan Action Adventure Sci-Fi mutant superhero team x men year 1983
The Dark Knight,Christopher Nolan,152,Christian Bale,Heath Ledger,Morgan Freeman,533316061,Action Crime Drama Thriller,based on comic book dc comics psychopath star died before release urban setting,185000000,2008,based comic book dc psychopath star died release urban setting,ChristopherNolan ChristianBale HeathLedger MorganFreeman Action Crime Drama Thriller based comic book dc psychopath star died release urban setting
Up,Pete Docter,96,John Ratzenberger,Delroy Lindo,Jess Harnell,292979556,Adventure Animation Comedy Family,balloon house promise retirement skeleton,175000000,2009,balloon house promise retirement skeleton,PeteDocter JohnRatzenberger DelroyLindo JessHarnell Adventure Animation Comedy Family balloon house promise retirement skeleton
Monsters vs. Aliens,Rob Letterman,94,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128,Action Adventure Animation Comedy Family Sci-Fi,alien alien invasion alien space craft giant giantess,175000000,2009,alien invasion space craft giant giantess,RobLetterman AmyPoehler RainnWilson StephenColbert Action Adventure Animation Comedy Family Sci-Fi alien invasion space craft giant giantess
Iron Man,Jon Favreau,126,Robert Downey Jr.,Jeff Bridges,Jon Favreau,318298180,Action Adventure Sci-Fi,afghanistan billionaire inventor playboy u.s. air force,140000000,2008,afghanistan billionaire inventor playboy u air force,JonFavreau RobertDowneyJr. JeffBridges JonFavreau Action Adventure Sci-Fi afghanistan billionaire inventor playboy u air force
Hugo,Martin Scorsese,126,Chloë Grace Moretz,Christopher Lee,Ray Winstone,73820094,Adventure Drama Family Mystery,automaton mechanical railway station steampunk train,170000000,2011,automaton mechanical railway station steampunk train,MartinScorsese ChloëGraceMoretz ChristopherLee RayWinstone Adventure Drama Family Mystery automaton mechanical railway station steampunk train
Wild Wild West,Barry Sonnenfeld,106,Will Smith,Salma Hayek,Bai Ling,113745408,Action Comedy Sci-Fi Western,buddy movie general inventor steampunk utah,170000000,1999,buddy movie general inventor steampunk utah,BarrySonnenfeld WillSmith SalmaHayek BaiLing Action Comedy Sci-Fi Western buddy movie general inventor steampunk utah
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,112,Jet Li,Brendan Fraser,Russell Wong,102176165,Action Adventure Fantasy Horror Thriller,army china emperor mummy shangri la,145000000,2008,army china emperor mummy shangri la,RobCohen JetLi BrendanFraser RussellWong Action Adventure Fantasy Horror Thriller army china emperor mummy shangri la
Suicide Squad,David Ayer,123,Will Smith,Robin Atkin Downes,Ike Barinholtz,161087183,Action Adventure Comedy Sci-Fi,based on comic book critically bashed father daughter relationship reference to superman super villain,175000000,2016,based comic book critically bashed father daughter relationship reference superman super villain,DavidAyer WillSmith RobinAtkinDownes IkeBarinholtz Action Adventure Comedy Sci-Fi based comic book critically bashed father daughter relationship reference superman super villain
Evan Almighty,Tom Shadyac,96,Jimmy Bennett,Morgan Freeman,Steve Carell,100289690,Comedy Family Fantasy,ark change congressman depiction of god flood,175000000,2007,ark change congressman depiction god flood,TomShadyac JimmyBennett MorganFreeman SteveCarell Comedy Family Fantasy ark change congressman depiction god flood
Edge of Tomorrow,Doug Liman,113,Tom Cruise,Lara Pulver,Noah Taylor,100189501,Action Adventure Sci-Fi,alien combat dying repeatedly end of the world time loop,178000000,2014,alien combat dying repeatedly end world time loop,DougLiman TomCruise LaraPulver NoahTaylor Action Adventure Sci-Fi alien combat dying repeatedly end world time loop
Waterworld,Kevin Reynolds,176,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,88246220,Action Adventure Sci-Fi Thriller,future sail sea smoker water,175000000,1995,future sail sea smoker water,KevinReynolds JeanneTripplehorn RickAviles ZakesMokae Action Adventure Sci-Fi Thriller future sail sea smoker water
G.I. Joe: The Rise of Cobra,Stephen Sommers,118,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,150167630,Action Adventure Sci-Fi Thriller,cobra gi joe snake train warhead,175000000,2009,cobra gi joe snake train warhead,StephenSommers JosephGordon-Levitt DennisQuaid LeoHoward Action Adventure Sci-Fi Thriller cobra gi joe snake train warhead
Inside Out,Pete Docter,95,Amy Poehler,Mindy Kaling,Phyllis Smith,356454367,Adventure Animation Comedy Drama Family Fantasy,anger joy memory running away sadness,175000000,2015,anger joy memory running away sadness,PeteDocter AmyPoehler MindyKaling PhyllisSmith Adventure Animation Comedy Drama Family Fantasy anger joy memory running away sadness
The Jungle Book,Jon Favreau,106,Scarlett Johansson,Bill Murray,Garry Shandling,362645141,Adventure Drama Family Fantasy,fire jungle remake tiger wolf,175000000,2016,fire jungle remake tiger wolf,JonFavreau ScarlettJohansson BillMurray GarryShandling Adventure Drama Family Fantasy fire jungle remake tiger wolf
Iron Man 2,Jon Favreau,124,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,312057433,Action Adventure Sci-Fi,hammer military monaco revenge tony stark,200000000,2010,hammer military monaco revenge tony stark,JonFavreau RobertDowneyJr. ScarlettJohansson JonFavreau Action Adventure Sci-Fi hammer military monaco revenge tony stark
Snow White and the Huntsman,Rupert Sanders,132,Chris Hemsworth,Kristen Stewart,Sam Claflin,155111815,Action Adventure Drama Fantasy,evil queen fairy tale magic queen snow white,170000000,2012,evil queen fairy tale magic snow white,RupertSanders ChrisHemsworth KristenStewart SamClaflin Action Adventure Drama Fantasy evil queen fairy tale magic snow white
Maleficent,Robert Stromberg,97,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,241407328,Action Adventure Family Fantasy Romance,curse dark fantasy fairy king kingdom,180000000,2014,curse dark fantasy fairy king kingdom,RobertStromberg AngelinaJoliePitt SharltoCopley SamRiley Action Adventure Family Fantasy Romance curse dark fantasy fairy king kingdom
Dawn of the Planet of the Apes,Matt Reeves,130,Gary Oldman,Judy Greer,Kodi Smit-McPhee,208543795,Action Adventure Drama Sci-Fi,ape dam leader post apocalypse sequel,170000000,2014,ape dam leader post apocalypse sequel,MattReeves GaryOldman JudyGreer KodiSmit-McPhee Action Adventure Drama Sci-Fi ape dam leader post apocalypse sequel
